ID,Name,CAS #,CAS,SMILES ,InChiKeys,VDss (L/kg),Reference,Comments
512,Propranolol,525-66-6,525-66-6,O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2,AQHHHDLHHXJYJD-UHFFFAOYSA-N,3.1,"Henry JA and Mitchell SN (1981) Effect of pH on human plasma protein binding of a series of .beta.-adrenoceptor antagonists.  Br. J. Clin. Pharmacol. 11: 119P-120P.  Cheymol G, Poirier JM, Carrupt PA, Testa B, Weissenburger J, Levron JC, and Snoeck E (1997) Pharmacokinetics of .beta.-adrenoceptor blockers in obese and normal volunteers.  Br. J. Clin. Pharmacol. 43: 563-570. ",
513,Propylthiouracil,51-52-5,51-52-5,c1(cc(=O)[nH]c(=S)[nH]1)CC([2H])([2H])C([2H])([2H])[2H],KNAHARQHSZJURB-ZBJDZAJPSA-N,0.34,"Kampmann J and Skovsted L (1974) Pharmacokinetics of propylthiouracil.  Acta Pharmacol. Toxicol. 35: 361-369.   Giles HG, Roberts EA, Orrego H, and Sellers EM (1981) Disposition of intravenous propylthiouracil. J. Clin. Pharmacol. 21: 466-471.",VDss calculated from reported rate microconstants.
514,Pseudohypericin,55954-61-5,55954-61-5,O=C1c2c3c4c5c6c(c7c4c1c(O)cc7O)c(O)cc(O)c6C(=O)c1c5c(c3c(cc2O)CO)c(cc1O)C,YXBUQQDFTYOHQI-UHFFFAOYSA-N,0.56,"Kerb R, Brockmuller J, Staffeldt B, Ploch M, and Roots I (1996) Single dose and steady-state pharmacokinetics of hypericin and pseudohypericin.  Antimic. Agents Chemother.  40: 2087-2093.",
515,Pyridostigmine,155-97-5,155-97-5,C(=O)(Oc1c[n+](ccc1)C)N(C)C,RVOLLAQWKVFTGE-UHFFFAOYSA-N,1.1,"Aquilonius SM, Eckernaes SA, Hartvig P, Lindstroem B, and Osterman PO (1980) Pharmacokinetics and oral bioavailability of pyridostigmine in man. Eur. J. Clin. Pharmacol. 18: 423-428.  Kornfeld P, Samuels AJ, Wolf RL, and Osserman KE (1970) Metabolism of pyridostigmine-14C in myasthenia gravis.  Evidence for multiple metabolites.  Neurology 20: 634-641.",VDss calculated from C vs t data obtained by digitization of plots in the reference.
516,Pyrimethamine,58-14-0,58-14-0,c1(nc(nc(c1c1ccc(cc1)Cl)CC)N)N,WKSAUQYGYAYLPV-UHFFFAOYSA-N,0.43,"Almond DS, Szwandt ISF, Edwards G, Lee MG, and Winstanley PA (2000) Disposition of intravenous pyrimethamine in healthy volunteers.  Antimic. Ag. Chemother.  44: 1691-1693.  Cavallito JC, Nichol CA, Brenckman WD, Deangelis RL, Stickney DR, Simmons WS, and Sigel CW (1978) Lipid-soluble inhibitors of dihydrofolate reductase.  I.  Kinetics, tissue distribution, and extent of metabolism of pyrimethamine, metoprine, and etoprine in the rat, dog, and man.  Drug Metab. Dispos. 6: 329-337.  Rudy AC and Poynor WJ (1990) Binding of pyrimethamine to human plasma proteins and erythrocytes.  Pharm. Res. 7: 1055-1060.",Note: Incorrect calculations in the original paper.
517,Quercetin,117-39-5,117-39-5,o1c2c(c(=O)c(O)c1c1cc(O)c(O)cc1)c(O)cc(O)c2,REFJWTPEDVJJIY-UHFFFAOYSA-N,0.12,"Ferry DR, Smith A, Malkhandi J, Fyfe DW,DeTakats PG, Anderson D, Baker J, Kerr DJ (1996) Phase I clinical trial of the flavonoid quercetin: Pharmacokinetics and evidence for in vivo tyrosine kinase inhibition. Clin. Cancer Res. 2: 659-668.  Boulton DW, Walle UK, and Walle T (1998) Extensive binding of the bioflavonoid quercetin to human plasma proteins. J. Pharm. Pharmacol. 50: 243-249.  ",
518,Quinacrine,83-89-6,83-89-6,c1(ccc2c(c1)c(c1c(n2)cc(cc1)Cl)N[C@H](C)CCCN(CC)CC)OC,GPKJTRJOBQGKQK-MRXNPFEDSA-N,45,"Shannon JA, Earle DP, Brodie BB, Taggart JV, and Berliner RW (1944) The pharmacological basis for the rational use of atabrine in the treatment of malaria.  J. Pharmacol. Exp. Ther. 81: 307-330.",Pharmacokinetic parameters were calculated from C vs t provided in the reference. 
519,Quinaprilat,82768-85-2,82768-85-2,O=C(N1[C@@H](Cc2c(C1)cccc2)C(=O)O)[C@@H](N[C@H](C(=O)O)CCc1ccccc1)C,FLSLEGPOVLMJMN-YSSFQJQWSA-N,0.13,"Breslin E, Posvar E, Neub M, Trenk D, and Jahnchen E (1996) A pharmacodynamic and pharmacokinetic comparison of intravenous quinaprilat and oral quinapril.  J. Clin. Pharmacol. 36: 414-421.  Accuretic Product Label.",VDss calculated from C vs t data obtained by digitization of the plot provided in the reference.
520,Quinidine,56-54-2,56-54-2,O[C@H]([C@@H]1[NH+]2C[C@@H]([C@@H](C1)CC2)C=C)c1c2c(ncc1)ccc(OC)c2,LOUPRKONTZGTKE-SMHQJORMSA-O,2.9,"Ueda CT, Williamson BJ, and Dzindzio BS (1976) Disposition kinetics of dihydroquinidine following quinidine administration.  Res. Comm. Chem. Path. Pharmacol. 14: 215-225.  Fremstad D, Nilson OG, Stirsein L, Amlie J, and Jacobson S (1979) Pharmacokinetics of quinidine related to protein binding in man.  Eur. J. Clin. Pharmacol. 15: 187-192.  Woo E and Greenblatt DJ (1979) Pharmacokinetic and clinical implications of quinidine protein binding.  J. Pharm. Sci. 68: 465-469.",
521,Quinine,130-95-0,130-95-0,c1cc(cc2c1nccc2[C@H]([C@@H]1C[C@@H]2[C@H](CN1CC2)C=C)O)OC,LOUPRKONTZGTKE-WZBLMQSHSA-N,1.8,"White NJ, Clinical pharmacokinetics of antimaliria drugs.  Clin. Pharmacokinet.  10: 187-215.  White NJ, Chanthavanich P, Krishna S, Bunch C, and Silamut K (1983) Quinine disposition kinetics.  Br. J. Clin. Pharmacol.  16: 399-403.",VDss calculated from reported rat micro-constants.
522,Quinupristin,120138-50-3,120138-50-3,S([C@H]1C2CCN(C1)CC2)C[C@@H]1CN2[C@@H](CC1=O)C(=O)N[C@@H](c1ccccc1)C(=O)O[C@@H]([C@H](NC(=O)c1ncccc1O)C(=O)N[C@@H](C(=O)N1[C@@H](CCC1)C(=O)N([C@H](C2=O)Cc1ccc(N(C)C)cc1)C)CC)C,WTHRRGMBUAHGNI-LCYNINFDSA-N,0.67,"Chevalier P, Rey J, Pasquier O, Rouzier-Panis R, Harding N, and Montay G (2001) Multiple-dose pharmacokinetics and safety of two regimens of quinupristine/dalfopristin (Synercid) in healthy volunteers.  J. Clin. Pharmacol. 41: 404-414.  Bergeron M and Montay G (1997) The pharmacokinetics of quinupristin/dalfopristin in laboratory animals and in humans.  J. Antimic. Chemother. 39(Supp. A): 129-138.  Bearden DT (2004) Clinical pharmacokinetics of quinupristin/dalfopristin.  Clin. Pharmacokinet. 43: 239-252.",
523,Rabeprazole,117976-89-3,117976-89-3,S(=O)(c1nc2c([nH]1)cccc2)Cc1nccc(OCCCOC)c1C,YREYEVIYCVEVJK-UHFFFAOYSA-N,0.22,"Setoyama T, Laurent A, Humphries T, and Hasegawa J (2005) Pharmacokinetics of rabeprazole following single intravenous and oral administration to healthy subjects.  Int. J. Clin. Pharmacol. Ther. 43:  37-42.",Pharmacokinetic parameters were calculated from C vs t data obtained by digitization of the plot provided in the reference.
524,Ranitidine,66357-35-5,66357-35-5,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,VMXUWOKSQNHOCA-UHFFFAOYSA-N,1.2,"Chau NP, Zech PY, Pozet N, and Hadj-Aissa A (1982) Ranitidine kinetics in normal subjects.  Clin. Pharmacol. Ther. 31: 770-774.  Van Hecken AM, Tjandramaga TB, Mullie A, Verbesselt R, and De Schepper PJ (1982) Ranitidine: single dose pharmacokinetics and absolute bioavailability in man.  Br. J. Clin. Pharmacol. 14: 195-200.  Smith IL, Ziemniak JA, Bernhard H, Eshelman FN, Martin LE, and Schentag JJ (1984) Ranitidine disposition and systemic availability in hepatic cirrhosis.  Clin. Pharmacol. Ther. 35: 487-494.",VDss calculated from micro rate constants reported in the reference.
525,R-Apomorphine,58-00-4,58-00-4,[C@H]12[N@@H+](CCc3c1c(c1c(C2)ccc(c1O)O)ccc3)C,VMWNQDUVQKEIOC-CYBMUJFWSA-O,1.6,"Van Der Geest R, Van Laar T, Kruger PP, Gubbens-Stibbe JM, Bodde HE, Roos RAC, and Danhof M (1998) Pharmacokinetics, enantiomer interconversion, and metabolism of R-apomorphine in patients with idiopathic Parkinson's disease.  Clin. Neuropharmacol.  21: 159-168.  Smith RV, Velagapudi RB, McLean AM, and Wilcox RE (1985) Interactions of apomorphine with serum and tissue proteins.  J. Med. Chem. 28:  613-620.",
526,Reboxetine,71620-89-8,71620-89-8,[C@H]1(OCCNC1)[C@@H](c1ccccc1)Oc1c(OCC)cccc1.[C@@H]1(OCCNC1)[C@H](c1ccccc1)Oc1c(OCC)cccc1.CS(=O)(=O)O.CS(=O)(=O)O,OEQQXKDUXVTKMH-BGLVZNNJSA-N,0.65,"Fleishaker JC, Mucci M, Pellizzoni C, and Poggesi I (1999) Absolute bioavailability of reboxetine enantiomers and effect of gender of pharmacokinetics.  Biopharm. Drug Dispos.  20: 53-57.  Hendershot PE, Fleishaker JC, Lin KM, Nuccio ID, and Poland RE (2001) Pharmacokinetics of reboxetine in healthy volunteers with different ethnic descents.  Psychopharmacology 155: 148-53.",Administered as a racemate; averaged data for the two enantiomers.
527,Recainam,74738-24-2,74738-24-2,O=C(NCCCNC(C)C)Nc1c(cccc1C)C,WHJSFPCTWYLZRC-UHFFFAOYSA-N,1.4,"Anderson JL, Reddy P, Myerburg RJ, Waxman HL, and deVane PJ (1993) Antiarrhythmic and pharmacokinetic evaluation of intravenous recainam in patients with frequent ventricular premature complexes and unsustained ventricular tachycardia.  Am. J. Cardiol. 71: 686-694.  Scatina JA, Kimmel HB, Weinstein V, Troy SM, Sisenwine SF, and Cayen MN (1990) Species differences in the pharmacokinetics of recainam, a new antiarrythmic drug.  Biopharm. Drug Dispos. 11: 445-461.",
528,Remifentanil,132875-61-7,132875-61-7,O(C(=O)C1(N(c2ccccc2)C(=O)CC)CCN(CC1)CCC(=O)OC)C,ZTVQQQVZCWLTDF-UHFFFAOYSA-N,0.40,"Egan TD, Lemmens HJM, Fiset P, Hermann DJ, Muir KT, Stanski DR, and Shafer SL (1993) The pharmacokinetics of the new short-acting opioid remifentanil (GI87084B) in healthy adult male volunteers.  Anesthesiology  79: 881-892.  Ultiva Product Label.",Terminal half-life was calculated from a population pharmacokinetic analysis in which clearance and volume of distribution were identical to parameters determined from a standard pharmacokinetic study.
529,Remoxipride,80125-14-0,80125-14-0,Brc1c(OC)c(c(OC)cc1)C(=O)NC[C@H]1N(CCC1)CC,GUJRSXAPGDDABA-NSHDSACASA-N,0.65,"Widman M, Nilsson LB, Bryske B, and Lundstroem J (1993) Disposition of remoxipride in different species: species differences in metabolism.  Arz. Forsch. 43: 287-297.  von Bahr C, Movin G, Yisak WA, Jostell KG, and Widman M (199) Clinical pharmacokinetics of remoxipride.  Acta Psych Scand. 358(Suppl) 41-44.",Note probable typo in the article by von Bahr et al stating that CL is 119 liter/min--interpreted as 119 mL/min
530,Repaglinide,135062-02-1,135062-02-1,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,OIOAIKUIIYGBIO-JESVACHVSA-N,0.35,"Hatorp V, Oliver S, and Su CAPF (1998) Bioavailability of repaglinide, a novel antidiabetic agent, administered orally in tablet or solution form or intravenously in healthy male volunteers.  Int. J. Clin. Pharmacol. Ther.  36: 636-641.  Plum A, Muller LK, and Jansen JA (2000) The effects of selected drugs on the in vitro protein binding of repaglinide in human plasma.  Meth. Find. Exp. Clin. Pharmacol. 22: 139-143.",
531,Repinotan,144980-29-0,144980-29-0,S1(=O)(=O)N(CCCCNC[C@@H]2Oc3c(CC2)cccc3)C(=O)c2c1cccc2,YGYBFMRFXNDIPO-QGZVFWFLSA-N,0.21,"Heining R,  Sundaresan P, Shah A and Boettcher M (2005) Effect of Gender and Age on the Pharmacokinetics of Repinotan.  Clin. Drug. Invest. 25: 125-134.  ",
532,Ribavirin,36791-04-5,36791-04-5,O1[C@@H]([C@@H](O)C(O)[C@@H]1n1nc(nc1)C(=O)N)CO,IWUCXVSUMQZMFG-UKAPAXSZSA-N,14,"Paroni R, DelPuppo M, Borghi C, Sirtoni CR, and Galli Kienle M (1989) Pharmacokinetics of ribavirin and urinary excretion of the major metabolite 1,2,4-triazole-3-carboxamide in normal volunteers.  Int. J. Clin. Pharmacol. Ther. Toxicol. 27: 302-307.  Preston SL, Drusano GL, Glue P, Nash J, Gupta SK, and McNamara P (1999) Pharmacokinetics and absolute bioavailability of ribavirin in healthy volunteers as determined by stable-isotope methodology.  Antimic. Agents Chemother. 43: 2451-2456.  Morse GD, Shelton MJ, and O'Donnell AM (1993) Comparative pharmacokinetics of antiviral nucleoside analogues.  Clin. Pharmacokinet. 24: 101-123.",
533,Ribostamycin,25546-65-0,25546-65-0,[C@@H]1(O[C@H]([C@@H]([C@@H]1O)O)O[C@H]1[C@@H]([C@H](C[C@H](C1O)N)N)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CN)O)O)N)CO,NSKGQURZWSPSBC-SSXIAAKRSA-N,0.25,"Yamasaku F, Suzuki Y, and Umemura K (1980) Pharmacokinetics of ribostamycin in healthy volunteers and patients with impaired renal function.  Jap. J. Antibiot. 33: 1318-1331.",VDss calculated from micro rate constants reported in the reference.
534,Rifabutin,72559-06-9,72559-06-9,C12(CCN(CC1)CC(C)C)N=C1c3c4C(=O)C(=C1N2)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@H]([C@H](/C=C/O[C@]1(Oc(c(c4O)C)c3C1=O)C)OC)C)OC(=O)C)C)O)C)O)C)/C,ATEBXHFBFRCZMA-FRIMEUIBSA-N,9.3,"Skinner MH, Hsieh M, Torseth J, Pauloin D, Bhatia G, Harkonen S, Merigan TC, and Blaschke TF (1989) Pharmacokinetics of rifabutin.  Antimic. Agents Chemoter. 33: 1237-1241.",
535,Rifampin,13292-46-1,13292-46-1,O1c2c3c4c(c(O)c2C)c(O)c(NC(=O)/C(=C\C=C\[C@@H]([C@H](O)[C@H]([C@@H](O)[C@H]([C@H](OC(=O)C)[C@@H]([C@@H](OC)/C=C/O[C@@]1(C3=O)C)C)C)C)C)/C)cc4O,HJYYPODYNSCCOU-ODRIEIDWSA-N,0.97,"Houin G, Beucler A, Richelet S, Brioude R, Lafaix C, and Tillement JP (1983) Pharmacokinetics of rifampicin and desacetylrifampicin in tuberculosis patients after different rates of infusion.  Ther. Drug Monit. 5: 67-72.","One compartment model described, so VD was assumed as VDss."
536,Risedronic acid (Risedronate),105462-24-6,105462-24-6,c1ccncc1CC(P(=O)(O)O)(O)P(=O)(O)O,IIDJRNMFWXDHID-UHFFFAOYSA-N,6.3,"Mitchell DY, Barr WH, Eusebio RA, Stevens KAP, Duke FP, Russell DA, Nesbitt JD, Powell JH, and Thompson GA (2001) Risedronate pharmacokinetics and intra- and inter-subject variability upon single-dose intravenous and oral administration.  Pharm. Res. 18: 166-170.  Actonel Product Label.",
537,Risperidone,106266-06-2,106266-06-2,O=C1CC(=O)CCN1,RDNZDMDLRIQQAX-UHFFFAOYSA-N,1.1,"Huang ML, Van Peer A, Woestenborghs R, De Coster R, Heykants J, Jansen AAI, Zylicz Z, Visscher HW, and Jonkman JHG (1993)  Pharmacokinetics of the novel antipsychotic agent risperidone and the prolactin response in healthy subjects.  Clin. Pharmacol. Ther.  54: 257-268.  Mannens G, Meuldermans W, Snoeck E, and Heykants J (1994) Plasma protein binding of risperidone and its distribution in blood.    Psychopharmacology 114: 566-572.",CYP2D6 EM data only.
538,Ritodrine,26652-09-5,26652-09-5,O[C@H](c1ccc(O)cc1)[C@@H](NCCc1ccc(O)cc1)C,IOVGROKTTNBUGK-SJCJKPOMSA-N,4.4,"Caritis SN, Venkataramanan R, Darby MJ, Chiao JP, and Krew M (1990) Pharmacokinetics of ritodrine administered intravenously: recommendations for changes in the current regimen.  Am. J. Obstet. Gynecol. 162: 429-437.  Gross AS and Brown KF (1985) Plasma protein binding of ritodrine at parturition and in nonpregnant women.  Eur. J. Clin. Pharmacol. 28: 479-481.",Data from pregnant women.
539,Rivastigmine,123441-03-2,123441-03-2,O(c1cc([C@@H](N(C)C)C)ccc1)C(=O)N(CC)C,XSVMFMHYUFZWBK-NSHDSACASA-N,1.3,"Polinsky RJ (1998) Clinical pharmacology of rivastigmine: a new-generation acetylcholinesterase inhibitor for the treatment of Alzheimer's disease.  Clin. Ther. 20: 634-647. Hossain M, Jhee SS, Shiovitz T, McDonald C, Sedek G, Pommier F, and Cutler NR (2002) Estimation of the absolute bioavailability of rivastigmine in patients with mild to moderate dementia of the Alzheimer's type.  Clin. Pharmacokinet.  41: 225-234.","VDss calculated from data digitized from Hossain, et al.,"
540,Rizatriptan,144034-80-0,144034-80-0,[nH]1cc(c2cc(ccc12)Cn1ncnc1)CCN(C)C.C(Cc1c[nH]c2c1cc(cc2)Cn1ncnc1)N(C)C,OXJXVJRWEXFGNG-UHFFFAOYSA-N,1.9,"Vyas KP, Halpin RA, Geer LA, Ellis JD, Liu L, Cheng H, Chavez-Eng C, Matuszewski BK, Varga SL, Guiblin AR, and Rogers JD (2000) Disposition and pharmacokinetics of the antimigraine drug, rizatriptan, in humans.  Drug Metab. Dispos. 28: 89-95.  Lee Y, Conroy JA, Stepanavage ME, Mendel CM, Somers G, McLoughlin DA, Olah TV, De Smet M, Keymeulen B, and Rogers JD (1999) Pharmacokinetics and tolerability of oral rizatriptan in healthy male and female volunteers.  Br. J. Clin. Pharmacol.  47: 373-378.  Lee Y, Ermlich SJ, Sterrett AT, Goldberg MR, Blum RA, Brucker MJ, McLoughlin DA, Olah TV, Zhao J, and Rogers JD (1998) Pharmacokinetics and tolerability of intravenous rizatriptan in healthy females.  Biopharm Drug Dispos. 19: 577-581.  Cheng H, Polvino WJ, Sciberras D, Yogendran L, Cerchio KA, Christie K, Olah TV, McLaughlin D, James I, and Rogers JD (1996) Pharmacokinetics and food interaction of MK-462 in healthy males.  Biopharm. Drug Dispos. 17: 17-24.  Hargreaves RJ, Longmore J, Beer M, Shepheard S, Cumberbatch M, Williamson D, Stanton J, Razzaque Z, Sohal B, Street L, Seabrook G, and Hill R (2000) The pharmacology and mechanisms of action of rizatriptan.  Monogr. Clin. Neurosci. 17: 141-161.",
541,Rocuronium,143558-00-3,143558-00-3,[C@H]1([C@H](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H]([C@H](C2)[N+]1(CCCC1)CC=C)OC(=O)C)C)C)O)N1CCOCC1,YXRDKMPIGHSVRX-OOJCLDBCSA-N,0.21,"Cooper RA, Maddineni VR, Mirakhur RK, Wierda JM, Brady M, and Fitzpatrick KT (1993) Time course of neuromuscular effects and pharmacokinetics of rocuronium bromide (Org 9426) during isoflurane anaethesia in patients with and without renal failure.  Br. J. Anaesth. 71: 222-226.  Roy JJ and Varin F (2004) Physicochemical properties of neuromuscular blocking agents and their impact on the pharmacokinetic-pharmacodynamic relationship.  Br. J. Anaesth. 93: 241-248.",
542,Rolitetracycline,751-97-3,751-97-3,O[C@@]12[C@@H](CC3[C@](O)(c4c(C(=C3C1=O)O)c(O)ccc4)C)[C@H](N(C)C)C(=O)/C(=C(/O)\NCN1CCCC1)/C2=O,YHDPWEWZPGTMMU-DLPVWNROSA-N,0.54,Dimmling T and Vanderbeke O (1975) Pharmakokinetik oral und intravenos verabreichbarer tetracyclinpraparate.  Med. Klin. 70: 279-285.  Rinati MV and Fleischmann L (1973) Legame con sieroproteine di alcune tetracicline e loro derivati idrosolubili. Cl. Terap. 71: 57-61.,Calculations made from reported C vs t data.  Plasma concentrations were determined using bioassay.
543,Romidepsin,128517-07-7,128517-07-7,C/C=C/1\C(=O)N[C@H](C(=O)O[C@H]2CC(=O)N[C@@H](C(=O)N[C@H](CSSCC/C=C\2)C(=O)N1)C(C)C)C(C)C,OHRURASPPZQGQM-UBQUJCNUSA-N,1.2,"Sandor V, Bakke S, Robey RW, Kang MH, Blagosklonny MV, Bender J, Brooks R, Piekarz RL, Tucker E, Figg WD, Chan KK, Goldspiel B, Fojo AT, Balcerzak SP, and Bates SE (2002) Phase I trial of the histone deacetylase inhibitor, depsipeptide (FR901228, NSC 630176), in patients with refractory neoplasms.Clin. Cancer Res. 8: 718-728. ",
544,Ropivacaine,84057-95-4,84057-95-4,Oc1cc(O)c2c(c1)OC(C(C2c1c(O)cc(c2c1OC(C(C2)OC(=O)c1cc(O)c(c(c1)O)O)c1ccc(c(c1)O)O)O)OC(=O)c1cc(O)c(c(c1)O)O)c1ccc(c(c1)O)O,KTLUHRSHFRODPS-UHFFFAOYSA-N,0.75,"Halldin MM, Bredberg E, Angelin B, Arvidsson T, Askemark Y, Elofsson S, and Widman M (1996) Metabolism and excretion of ropivacaine in humans.  Drug Metab. Dispos. 24: 962-968.  Jokinen MJ, Olkkola KT, Ahonen J, and Neuvonen PJ (2003) Effect of ciprofloxacin on the pharmacokinetics of ropivacaine.  Eur. J. Clin. Pharmacol. 58: 653-657.  Jokinen MJ, Olkkola KT, Ahonen J, and Neuvonen PJ (2001) Effect of rifampin and tobacco smoling on the pharmacokinetics of ropivacaine.  Clin. Pharmacol. Ther. 70: 344-350.  Emanuelsson BM, Norsten-Hoog C, Sandberg R, and Sjovall J (1997) Ropivicaine and its 2H3-labelled analogue--bioanalysis and disposition in healthy volunteers.  Eur. J. Pharm. Sci. 5: 171-177.   Jokinen MJ, Neuvonen PJ, Lindgren L, Hoeckerstedt K, Sjoevall J, Breuer O, Askemark Y, Ahonen J, and Olkkola KT (2007) Pharmacokinetics of Ropivacaine in Patients with Chronic End-stage Liver Disease.  Anesthesiology 106: 43-55.  Naropin Product Label.",
545,Roquinimex,84088-42-6,84088-42-6,O=C(c1c(O)c2c(n(C)c1=O)cccc2)N(c1ccccc1)C,SGOOQMRIPALTEL-UHFFFAOYSA-N,0.21,"Strandgarden K, Hoglund P, Nordle O, Polacek J, Wannman H, and Gunnarsson PO.(1999) Dissolution rate-limited absorption and complete bioavailability of roquinimex in man.  Biopharm. Drug Dispos. 20: 347-354.",
546,Rosiglitazone,122320-73-4,122320-73-4,n1ccccc1N(C)CCOc1ccc(cc1)CC1C(=O)NC(=O)S1,YASAKCUCGLMORW-UHFFFAOYSA-N,0.20,"Cox PJ, Ryan DA, Hollis FJ, Harris AM, Miller AK, Vousden M, and Cowley H (2000) Absorption, disposition, and metabolism of rosiglitazone, a potent thiazolidinedione insulin sensitizer, in humans.  Drug Metab. Dispos. 28: 772-780.  Miller AK, DiCicco RA, and Freed MI (2002) The effect of ranitidine on the pharmacokinetics of rosiglitazone in healthy adult male volunteers.  Clin. Ther. 24: 1062-1071.  Avandia Product Label",
547,Rosuvastatin,287714-41-4,287714-41-4,C(=O)(C[C@H](CC(/C=C/c1c(nc(nc1c1ccc(cc1)F)N(C)S(=O)(=O)C)C(C)C)O)O)O,BPRHUIZQVSMCRT-RUEVOVDXSA-N,1.7,"Martin PD, Warwick MJ, Dane AL,  Brindley C, and Short T (2003) Absolute oral bioavailability of rosuvastatin in healthy white adult male volunteers.  Clin. Ther. 25: 2553-2563.  Crestor Product Label.",
548,RPR 109881A,192573-38-9,192573-38-9,O1[C@H]2[C@](OC(=O)C)([C@@H]3[C@@]4([C@@H](C4)C2)C(=O)[C@H](OC(=O)C)C2=C([C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@H]3OC(=O)c3ccccc3)C2(C)C)C)C1.O.O,SEFGUGYLLVNFIJ-QDRLFVHASA-N,12,"Sessa C, Cuvier C, Caldiera S, Bauer J, Van Den Bosch S, Monnerat C, Semiond D, Perard D, Lebecq A, Besenval M, and Marty M (2002) Phase I clinical and pharmacokinetic studies of the taxoid derivative RPR 109881A administered as a 1-hour or a 3-hour infusion in patients with advanced solid tumors.  Ann. Oncol. 13: 1140-1150.",
549,Saquinavir,127779-20-8,127779-20-8,C(=O)(N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](CN1[C@@H](C[C@H]2[C@@H](C1)CCCC2)C(=O)NC(C)(C)C)O)CC(=O)N)c1ccc2c(cccc2)n1,QWAXKHKRTORLEM-UGJKXSETSA-N,3.6,"Kupferschmidt HHT, Fattinger KE, Ha HR, Follath F, and Krahenbuhl S (1998) Grapefruit juice enhances the bioavailability of the HIV protease inhibitor saquinavir in man.  Br. J. Clin. Pharmacol. 45: 355-359.  Holladay JW, Dewey MJ, Michniak BB, Wiltshire H, Halberg DL, Weigl P, Liang Z, Halifax K, Lindup WE, and Back DJ (2001) Elevated alpha-1-acid glycoprotein reduces the volume of distribution and systemic clearance of saquinavir.  Drug Metab. Dispos.  29: 299-303.",
550,SarCNU,81965-43-7,81965-43-7,O=C(c1ccc(cc1)F)CC(=O)O,WSWKUJUQMXOEQK-UHFFFAOYSA-N,0.76,"Panasci L, Stinson SF, Melnychuk D, Sandor V, Miller WH, Batist G, Patenaudr F, Bangash N, Panarello L, Alaoui-Jamali M, and Sausville E (2003) SarCNU, a nitosourea analog on a day 1, 5, and 9 oral schedule: a phase I and pharmacokinetic study in patients with advanced solid tumors.  J. Clin. Oncol. 21: 232-240.",VDss was calculated using C vs t data obtained by digitization of the plot provided in the reference.
551,Sch34343,95415-91-1,95415-91-1,S1[C@H]2N(C(=O)[C@@H]2[C@H](O)C)C(=C1SCCOC(=O)N)C(=O)[O-].[Na+],DFRJGQBVJIXNJU-LAHZDFTNSA-M,0.30,"Lin CC, Lim J, Radwanski E, Kim, HK, Marco A, Lapiguera A, DiGiore C, and Symchowicz S (1987) Pharmacokinetics and metabolism of an intravenously administered penem (Sch 34343) in humans.  Antimic. Ag. Chemother.  31: 84-87.  Eliopoulos GM, Reiszner E, and Moellering RC (1985) In vitro activity of Sch 34343 against enterococci and other Gram-positive bacteria.  Antimic. Agents Chemother. 27: 28-32.",VDss calculated from digitized C vs t plot.
552,Scopolamine,51-34-3,51-34-3,[C@@H]12C[C@@H](C[C@@H]([C@@H]3[C@H]1O3)N2C)OC(=O)[C@H](CO)c1ccccc1,STECJAGHUSJQJN-FWXGHANASA-N,3.1,"Putcha L, Cintron NM, Tsui J, Vanderploeg JM and Kramer WG (1989) Pharmacokinetics and oral bioavailability of scopolamine in normal subjects.  Pharm. Res. 6: 481-485.",VDss calculated from digitized C vs t plot.
553,Selegiline,2323-36-6,2323-36-6,c1ccccc1CC(C)N(C)CC#C,MEZLKOACVSPNER-UHFFFAOYSA-N,1.9,"Heinonen, EH, Anttila, MI, Lammintausta, RAS.(1994) Pharmacokinetic aspects of l-deprenyl (selegiline) and its metabolites. Clin Pharmacol Ther. 56: 742-749.   De la Torre R, Farre M, Navarro M, Pacifici R, Zuccaro P, and Pichini S (2004)  Clinical pharmacokinetics of amfetamine and related substances: monitoring in conventional and non-conventional matrices.  Clin. Pharmacokinet.  43: 157-185.  Emsam Product Label.  Zelapar Product Label.",
